,0
0,0.01837338888888889
1,0.03537338888888889
2,0.04737338888888889
3,0.04937338888888889
4,0.04037338888888889
5,0.02937338888888889
6,0.015373388888888888
7,0.006373388888888889
8,0.002373388888888889
9,0.00037338888888888887
10,0.001373388888888889
11,0.00037338888888888887
12,0.003373388888888889
13,0.010373388888888889
14,0.02237338888888889
15,0.03037338888888889
16,0.03837338888888889
17,0.03437338888888889
18,0.02537338888888889
19,0.011373388888888888
20,-0.0006266111111111111
21,-0.001626611111111111
22,0.004373388888888889
23,0.014373388888888889
24,0.02437338888888889
25,0.03137338888888889
26,0.03837338888888889
27,0.04137338888888889
28,0.04437338888888889
29,0.04037338888888889
30,0.03137338888888889
31,0.013373388888888888
32,-0.005626611111111111
33,-0.015626611111111112
34,-0.01762661111111111
35,-0.010626611111111113
36,0.00037338888888888887
37,0.006373388888888889
38,0.009373388888888888
39,0.008373388888888889
40,0.008373388888888889
41,0.010373388888888889
42,0.013373388888888888
43,0.012373388888888889
44,0.009373388888888888
45,0.005373388888888889
46,0.002373388888888889
47,0.002373388888888889
48,0.005373388888888889
49,0.008373388888888889
50,0.009373388888888888
51,0.009373388888888888
52,0.007373388888888889
53,0.009373388888888888
54,0.009373388888888888
55,0.010373388888888889
56,0.008373388888888889
57,0.005373388888888889
58,-0.0006266111111111111
59,-0.006626611111111111
60,-0.008626611111111113
61,-0.007626611111111111
62,-0.0026266111111111112
63,0.005373388888888889
64,0.013373388888888888
65,0.01637338888888889
66,0.013373388888888888
67,0.005373388888888889
68,-0.001626611111111111
69,-0.006626611111111111
70,-0.006626611111111111
71,-0.006626611111111111
72,-0.0026266111111111112
73,-0.0026266111111111112
74,-0.0006266111111111111
75,-0.0006266111111111111
76,-0.0006266111111111111
77,-0.0006266111111111111
78,0.002373388888888889
79,0.004373388888888889
80,0.005373388888888889
81,0.005373388888888889
82,0.002373388888888889
83,0.00037338888888888887
84,-0.0026266111111111112
85,-0.005626611111111111
86,-0.005626611111111111
87,-0.0036266111111111113
88,-0.0006266111111111111
89,0.001373388888888889
90,0.003373388888888889
91,0.006373388888888889
92,0.008373388888888889
93,0.010373388888888889
94,0.010373388888888889
95,0.009373388888888888
96,0.005373388888888889
97,-0.0006266111111111111
98,-0.006626611111111111
99,-0.009626611111111112
100,-0.011626611111111112
101,-0.009626611111111112
102,-0.008626611111111113
103,-0.009626611111111112
104,-0.013626611111111112
105,-0.01662661111111111
106,-0.02062661111111111
107,-0.019626611111111112
108,-0.01862661111111111
109,-0.013626611111111112
110,-0.006626611111111111
111,-0.0026266111111111112
112,0.00037338888888888887
113,0.00037338888888888887
114,-0.001626611111111111
115,-0.0026266111111111112
116,-0.001626611111111111
117,0.003373388888888889
118,0.007373388888888889
119,0.009373388888888888
120,0.010373388888888889
121,0.007373388888888889
122,0.005373388888888889
123,0.005373388888888889
124,0.007373388888888889
125,0.008373388888888889
126,0.008373388888888889
127,0.006373388888888889
128,0.002373388888888889
129,-0.0006266111111111111
130,-0.004626611111111111
131,-0.009626611111111112
132,-0.011626611111111112
133,-0.012626611111111113
134,-0.009626611111111112
135,-0.008626611111111113
136,-0.004626611111111111
137,-0.0006266111111111111
138,0.005373388888888889
139,0.01637338888888889
140,0.02837338888888889
141,0.03637338888888889
142,0.037373388888888893
143,0.02837338888888889
144,0.02137338888888889
145,0.02137338888888889
146,0.02437338888888889
147,0.03337338888888889
148,0.04037338888888889
149,0.04037338888888889
150,0.03537338888888889
151,0.02537338888888889
152,0.015373388888888888
153,0.010373388888888889
154,0.010373388888888889
155,0.011373388888888888
156,0.015373388888888888
157,0.015373388888888888
158,0.01637338888888889
159,0.01937338888888889
160,0.02237338888888889
161,0.02537338888888889
162,0.02437338888888889
163,0.02437338888888889
164,0.02337338888888889
165,0.02137338888888889
166,0.02137338888888889
167,0.01737338888888889
168,0.014373388888888889
169,0.011373388888888888
170,0.010373388888888889
171,0.010373388888888889
172,0.009373388888888888
173,0.006373388888888889
174,-0.001626611111111111
175,-0.007626611111111111
176,-0.011626611111111112
177,-0.014626611111111113
178,-0.012626611111111113
179,-0.006626611111111111
180,0.00037338888888888887
181,0.007373388888888889
182,0.012373388888888889
183,0.006373388888888889
184,-0.006626611111111111
185,-0.01862661111111111
186,-0.027626611111111112
187,-0.02862661111111111
188,-0.02462661111111111
189,-0.02162661111111111
190,-0.02062661111111111
191,-0.02062661111111111
192,-0.02262661111111111
193,-0.023626611111111112
194,-0.02662661111111111
195,-0.02862661111111111
196,-0.03062661111111111
197,-0.03062661111111111
198,-0.02862661111111111
199,-0.027626611111111112
200,-0.02862661111111111
201,-0.027626611111111112
202,-0.02962661111111111
203,-0.02862661111111111
204,-0.02562661111111111
205,-0.023626611111111112
206,-0.01862661111111111
207,-0.014626611111111113
